attachment_id,claim_id,file_name,file_type,file_size_kb,upload_date,perceptual_hash,ssim_match_score,is_duplicate_flag
ATT-000001,WC-2023000001,repair_photo_1.jpg,JPEG,2730,2023-07-03,63dce5981df6f4c1,0.2,N
ATT-000002,WC-2023000001,repair_photo_2.jpg,JPEG,1214,2023-07-03,5e3134188f3837a4,0.14,N
ATT-000003,WC-2023000001,invoice_3.pdf,PDF,897,2023-07-03,874d06561488a9e0,0.16,N
ATT-000004,WC-2023000002,repair_photo_4.jpg,JPEG,2293,2024-09-19,bbe22b0ad1514238,0.04,N
ATT-000005,WC-2023000002,repair_photo_5.jpg,JPEG,1463,2024-09-19,dd02fe6a9247e64e,0.19,N
ATT-000006,WC-2023000003,repair_photo_6.jpg,JPEG,736,2025-01-11,240d4bc481505a83,0.14,N
ATT-000007,WC-2023000003,repair_photo_7.jpg,JPEG,3538,2025-01-11,d281eeee792a4a5b,0.12,N
ATT-000008,WC-2023000004,repair_photo_8.jpg,JPEG,2255,2025-01-18,7b64f8b184ccbc49,0.07,N
ATT-000009,WC-2023000004,repair_photo_9.jpg,JPEG,3314,2025-01-18,5b9f0ab8319fe270,0.21,N
ATT-000010,WC-2023000005,repair_photo_10.jpg,JPEG,278,2025-07-17,33fb0aed2677748a,0.12,N
ATT-000011,WC-2023000005,repair_photo_11.jpg,JPEG,3584,2025-07-17,8cfb89c84ba1034b,0.17,N
ATT-000012,WC-2023000005,invoice_12.pdf,PDF,4205,2025-07-17,0719b36d54fcacbc,0.14,N
ATT-000013,WC-2023000006,repair_photo_13.jpg,JPEG,501,2023-11-21,db4c73d797252d97,0.24,N
ATT-000014,WC-2023000006,repair_photo_14.jpg,JPEG,1912,2023-11-21,32de006f9c3f3382,0.07,N
ATT-000015,WC-2023000007,repair_photo_15.jpg,JPEG,4565,2025-08-04,f7e820036a21778c,0.01,N
ATT-000016,WC-2023000007,repair_photo_16.jpg,JPEG,4788,2025-08-04,fc5f834eed0acebc,0.15,N
ATT-000017,WC-2023000007,invoice_17.pdf,PDF,216,2025-08-04,dd2d93a5b65defe7,0.22,N
ATT-000018,WC-2023000008,repair_photo_18.jpg,JPEG,396,2025-01-11,bfb7352fde5e6091,0.12,N
ATT-000019,WC-2023000009,repair_photo_19.jpg,JPEG,732,2025-04-09,7997ac9b165ef735,0.08,N
ATT-000020,WC-2023000009,repair_photo_20.jpg,JPEG,707,2025-04-09,0e5227a96619459d,0.2,N
ATT-000021,WC-2023000010,repair_photo_21.jpg,JPEG,300,2024-08-03,d88419e80cfc7ba5,0.03,N
ATT-000022,WC-2023000011,repair_photo_22.jpg,JPEG,266,2024-11-19,389a23819b7c9bb5,0.09,N
ATT-000023,WC-2023000011,repair_photo_23.jpg,JPEG,1384,2024-11-19,f51288020224f7d8,0.13,N
ATT-000024,WC-2023000012,repair_photo_24.jpg,JPEG,2892,2024-11-28,bb41acaa24e427e1,0.07,N
ATT-000025,WC-2023000012,repair_photo_25.jpg,JPEG,3921,2024-11-28,13780b05cb1c579d,0.04,N
ATT-000026,WC-2023000012,invoice_26.pdf,PDF,545,2024-11-28,969112fe99b5bb70,0.22,N
ATT-000027,WC-2023000013,repair_photo_27.jpg,JPEG,2527,2025-08-23,2d7e692c9ae3c17c,0.05,N
ATT-000028,WC-2023000014,repair_photo_28.jpg,JPEG,3265,2024-02-28,4910f6c728edfb63,0.13,N
ATT-000029,WC-2023000015,repair_photo_29.jpg,JPEG,4371,2024-08-02,59d8b267c76f65e3,0.13,N
ATT-000030,WC-2023000016,repair_photo_30.jpg,JPEG,4450,2024-02-23,ae7a6467ce56c17a,0.07,N
ATT-000031,WC-2023000017,repair_photo_31.jpg,JPEG,1840,2024-06-20,cb06bdc7c2c1fc30,0.01,N
ATT-000032,WC-2023000017,repair_photo_32.jpg,JPEG,2897,2024-06-20,9c6dbc75cef59efb,0.08,N
ATT-000033,WC-2023000018,repair_photo_33.jpg,JPEG,2064,2025-10-28,77f35a6f75a310e4,0.22,N
ATT-000034,WC-2023000019,repair_photo_34.jpg,JPEG,4604,2024-07-26,45bb7dabc3adc82a,0.19,N
ATT-000035,WC-2023000019,repair_photo_35.jpg,JPEG,390,2024-07-26,29a2f53b5f3b13a6,0.07,N
ATT-000036,WC-2023000019,invoice_36.pdf,PDF,463,2024-07-26,9feb75ae964ef4d4,0.14,N
ATT-000037,WC-2023000020,repair_photo_37.jpg,JPEG,419,2025-08-20,72780703bf98bc3e,0.15,N
ATT-000038,WC-2023000020,repair_photo_38.jpg,JPEG,769,2025-08-20,9c60fb5db278f87b,0.05,N
ATT-000039,WC-2023000020,invoice_39.pdf,PDF,3361,2025-08-20,c3712dd3f8796802,0.23,N
ATT-000040,WC-2023000021,repair_photo_40.jpg,JPEG,4089,2023-08-03,b6eaed74bb55aca0,0.08,N
ATT-000041,WC-2023000022,repair_photo_41.jpg,JPEG,1702,2024-04-07,4c5bf203738a3434,0.85,Y
ATT-000042,WC-2023000022,repair_photo_42.jpg,JPEG,982,2024-04-07,1ed3a8f31eed93eb,0.17,N
ATT-000043,WC-2023000022,invoice_43.pdf,PDF,557,2024-04-07,c330909c4bdc5854,0.1,N
ATT-000044,WC-2023000023,repair_photo_44.jpg,JPEG,1792,2025-03-21,f72af2b9c5d9307d,0.19,N
ATT-000045,WC-2023000023,repair_photo_45.jpg,JPEG,287,2025-03-21,5ef9d8ee60b791f9,0.1,N
ATT-000046,WC-2023000024,repair_photo_46.jpg,JPEG,1579,2024-09-16,0ae6ee32ddb66519,0.19,N
ATT-000047,WC-2023000024,repair_photo_47.jpg,JPEG,291,2024-09-16,59ad8263ac9f8988,0.02,N
ATT-000048,WC-2023000024,invoice_48.pdf,PDF,1457,2024-09-16,30a3d9260972020d,0.17,N
ATT-000049,WC-2023000025,repair_photo_49.jpg,JPEG,1568,2023-01-22,34b70595f5a13fd1,0.04,N
ATT-000050,WC-2023000025,repair_photo_50.jpg,JPEG,4398,2023-01-22,11f5659412b802e6,0.01,N
ATT-000051,WC-2023000025,invoice_51.pdf,PDF,2879,2023-01-22,caadefdcb3b4cde0,0.03,N
ATT-000052,WC-2023000026,repair_photo_52.jpg,JPEG,1990,2025-08-18,e19f3a00fca1b239,0.02,N
ATT-000053,WC-2023000027,repair_photo_53.jpg,JPEG,2195,2024-12-04,2b0ad9df22035a22,0.11,N
ATT-000054,WC-2023000027,repair_photo_54.jpg,JPEG,690,2024-12-04,648bf4fbf292a7c9,0.15,N
