audit_id,claim_id,action,action_date,performed_by,role,previous_status,new_status,notes,routing_rule
AUD-000001,WC-2023000001,Submitted,2023-07-03 00:00:00,DLR-008-TECH-04,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000002,WC-2023000001,Routed,2023-07-03 13:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 13. Routed to REVIEWER-10.,LOW_RISK_AUTO_APPROVE
AUD-000003,WC-2023000002,Submitted,2024-09-19 00:00:00,DLR-011-TECH-01,Dealer Technician,,Submitted,Claim submitted via Mobile App,
AUD-000004,WC-2023000002,Routed,2024-09-19 20:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 9. Routed to REVIEWER-07.,LOW_RISK_AUTO_APPROVE
AUD-000005,WC-2023000003,Submitted,2025-01-11 00:00:00,DLR-001-TECH-12,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000006,WC-2023000003,Routed,2025-01-12 17:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 20. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-000007,WC-2023000004,Submitted,2025-01-18 00:00:00,DLR-009-TECH-02,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000008,WC-2023000004,Routed,2025-01-18 23:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 13. Routed to REVIEWER-14.,LOW_RISK_AUTO_APPROVE
AUD-000009,WC-2023000005,Submitted,2025-07-17 00:00:00,DLR-005-TECH-02,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000010,WC-2023000005,Routed,2025-07-18 02:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 4. Routed to REVIEWER-09.,LOW_RISK_AUTO_APPROVE
AUD-000011,WC-2023000006,Submitted,2023-11-21 00:00:00,DLR-009-TECH-01,Dealer Technician,,Submitted,Claim submitted via API,
AUD-000012,WC-2023000006,Routed,2023-11-21 01:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 22. Routed to REVIEWER-04.,LOW_RISK_AUTO_APPROVE
AUD-000013,WC-2023000007,Submitted,2025-08-04 00:00:00,DLR-016-TECH-08,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000014,WC-2023000007,Routed,2025-08-05 04:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 36. Routed to REVIEWER-11.,LOW_RISK_AUTO_APPROVE
AUD-000015,WC-2023000007,Approved,2025-08-08 20:00:00,REVIEWER-11,Claim Processor,Approved,Approved,Claim approved after review,
AUD-000016,WC-2023000008,Submitted,2025-01-11 00:00:00,DLR-001-TECH-05,Dealer Technician,,Submitted,Claim submitted via PRISM Batch Upload,
AUD-000017,WC-2023000008,Routed,2025-01-12 14:00:00,SYSTEM,Automated,Submitted,Approved,Risk score: 22. Routed to REVIEWER-13.,LOW_RISK_AUTO_APPROVE
