claim_line_id,claim_id,line_number,part_number,vmrs_component_code,vmrs_cause_code,vmrs_correction_code,quantity,unit_cost,line_total,labor_hours,srt_standard_hours,labor_variance_pct,cost_variance_pct,repair_type
CL-000001,WC-2023000001,1,A-001-030-60-12,032,02,08,1,1100.84,1100.84,2.7,2.5,8.0,0.1,Complex
CL-000002,WC-2023000001,2,A-460-420-03-00,010,04,07,1,1191.93,1191.93,2.1,2.4,-12.5,3.6,Complex
CL-000003,WC-2023000001,3,A-960-320-10-01,042,02,01,1,1769.87,1769.87,3.4,3.7,-8.1,-1.7,Complex
CL-000004,WC-2023000002,1,A-960-501-02-00,042,01,07,1,623.33,623.33,1.8,2.1,-14.3,0.5,Standard
CL-000005,WC-2023000002,2,A-680-480-01-02,043,01,07,1,3047.84,3047.84,3.1,3.1,0.0,6.9,Standard
CL-000006,WC-2023000002,3,A-001-545-80-00,041,06,07,1,1321.93,1321.93,2.2,2.3,-4.3,5.8,Complex
CL-000007,WC-2023000003,1,A-680-490-02-04,043,03,01,1,2087.77,2087.77,2.1,2.3,-8.7,7.1,Standard
CL-000008,WC-2023000003,2,A-460-500-01-03,010,01,08,1,903.81,903.81,3.2,3.5,-8.6,1.6,Complex
CL-000009,WC-2023000004,1,A-714-320-01-00,037,01,04,1,3448.48,3448.48,3.5,3.6,-2.8,7.8,Complex
CL-000010,WC-2023000004,2,A-714-280-05-00,038,02,01,1,4842.36,4842.36,2.6,2.3,13.0,0.9,Complex
CL-000011,WC-2023000005,1,A-001-545-76-32,041,02,06,1,3242.7,3242.7,2.8,2.5,12.0,-4.6,Complex
CL-000012,WC-2023000005,2,A-460-500-01-03,010,01,08,1,958.3,958.3,3.6,3.5,2.9,7.7,Complex
CL-000013,WC-2023000005,3,A-001-030-80-00,032,03,04,1,237.0,237.0,1.2,1.3,-7.7,7.7,Complex
CL-000014,WC-2023000006,1,A-001-545-90-00,041,07,01,1,1739.53,1739.53,3.1,3.2,-3.1,5.4,Standard
CL-000015,WC-2023000006,2,A-460-500-01-03,010,01,01,1,952.12,952.12,3.5,3.5,0.0,7.0,Standard
CL-000016,WC-2023000006,3,A-680-495-01-00,043,06,06,1,676.88,676.88,2.4,2.2,9.1,4.1,Standard
CL-000017,WC-2023000007,1,A-960-540-01-00,042,04,03,1,733.61,733.61,3.0,3.4,-11.8,-5.9,Complex
CL-000018,WC-2023000008,1,A-714-320-01-00,037,01,08,1,3414.22,3414.22,3.1,3.6,-13.9,6.7,Complex
CL-000019,WC-2023000008,2,A-001-030-45-56,032,01,01,1,903.58,903.58,2.7,3.2,-15.6,-4.9,Standard
CL-000020,WC-2023000008,3,A-001-545-80-00,041,06,04,1,1234.76,1234.76,2.6,2.3,13.0,-1.2,Standard
CL-000021,WC-2023000009,1,A-714-280-01-00,038,01,08,1,302.79,302.79,0.8,0.7,14.3,4.4,Standard
CL-000022,WC-2023000010,1,A-714-280-01-00,038,01,01,1,294.62,294.62,0.6,0.7,-14.3,1.6,Complex
CL-000023,WC-2023000010,2,A-960-320-10-01,042,02,02,1,1885.01,1885.01,3.6,3.7,-2.7,4.7,Complex
CL-000024,WC-2023000011,1,A-001-997-70-00,045,03,05,1,315.2,315.2,1.4,1.6,-12.5,-7.3,Complex
CL-000025,WC-2023000011,2,A-001-545-90-00,041,07,05,1,1690.05,1690.05,3.2,3.2,0.0,2.4,Standard
CL-000026,WC-2023000012,1,A-960-540-01-00,042,04,08,1,760.23,760.23,3.7,3.4,8.8,-2.5,Complex
CL-000027,WC-2023000013,1,A-460-350-02-00,010,05,06,1,156.66,156.66,1.8,2.0,-10.0,-5.1,Standard
CL-000028,WC-2023000013,2,A-001-545-80-00,041,06,03,1,1156.0,1156.0,2.0,2.3,-13.0,-7.5,Complex
CL-000029,WC-2023000014,1,A-350-200-01-00,050,02,04,1,207.01,207.01,1.9,1.8,5.6,6.2,Complex
CL-000030,WC-2023000014,2,A-680-480-01-02,043,01,03,1,2790.56,2790.56,3.1,3.1,0.0,-2.1,Complex
CL-000031,WC-2023000015,1,A-680-490-05-00,043,05,08,1,2851.85,2851.85,2.0,1.8,11.1,5.6,Standard
CL-000032,WC-2023000016,1,A-714-320-01-00,037,01,04,1,3402.18,3402.18,3.3,3.6,-8.3,6.3,Complex
CL-000033,WC-2023000016,2,A-680-480-03-00,043,04,03,1,1432.61,1432.61,2.7,2.9,-6.9,-1.2,Complex
CL-000034,WC-2023000017,1,A-960-320-10-01,042,02,02,1,1723.33,1723.33,3.3,3.7,-10.8,-4.3,Complex
CL-000035,WC-2023000017,2,A-714-320-01-00,037,01,09,1,3094.79,3094.79,4.0,3.6,11.1,-3.3,Standard
CL-000036,WC-2023000018,1,A-680-495-01-00,043,06,06,1,629.15,629.15,1.9,2.2,-13.6,-3.2,Complex
CL-000037,WC-2023000019,1,A-714-280-01-00,038,01,01,1,287.68,287.68,0.6,0.7,-14.3,-0.8,Complex
CL-000038,WC-2023000019,2,A-001-030-45-56,032,01,01,1,1006.81,1006.81,2.9,3.2,-9.4,6.0,Complex
CL-000039,WC-2023000020,1,A-714-260-02-00,037,03,05,1,2334.28,2334.28,2.2,2.2,0.0,-2.7,Standard
CL-000040,WC-2023000021,1,A-460-420-03-00,010,04,09,1,1240.09,1240.09,2.3,2.4,-4.2,7.8,Complex
CL-000041,WC-2023000022,1,A-001-545-76-32,041,02,08,1,3606.31,3606.31,2.8,2.5,12.0,6.1,Standard
CL-000042,WC-2023000022,2,A-001-030-45-56,032,01,06,1,917.76,917.76,3.4,3.2,6.2,-3.4,Complex
CL-000043,WC-2023000023,1,A-350-200-01-00,050,02,09,1,181.79,181.79,2.1,1.8,16.7,-6.8,Complex
CL-000044,WC-2023000023,2,A-001-030-60-12,032,02,09,1,1041.01,1041.01,2.4,2.5,-4.0,-5.4,Standard
CL-000045,WC-2023000024,1,A-001-997-70-00,045,03,03,1,357.43,357.43,1.4,1.6,-12.5,5.1,Standard
CL-000046,WC-2023000025,1,A-714-280-01-00,038,01,01,1,287.4,287.4,0.7,0.7,0.0,-0.9,Standard
CL-000047,WC-2023000025,2,A-680-490-05-00,043,05,06,1,2815.39,2815.39,1.9,1.8,5.6,4.3,Standard
CL-000048,WC-2023000025,3,A-001-997-70-00,045,03,01,1,313.67,313.67,1.5,1.6,-6.3,-7.7,Complex
CL-000049,WC-2023000026,1,A-960-320-10-01,042,02,07,1,1844.35,1844.35,3.2,3.7,-13.5,2.5,Standard
CL-000050,WC-2023000027,1,A-001-997-70-00,045,03,06,1,347.36,347.36,1.5,1.6,-6.3,2.2,Complex
CL-000051,WC-2023000027,2,A-001-030-80-00,032,03,08,1,203.02,203.02,1.1,1.3,-15.4,-7.7,Complex
CL-000052,WC-2023000027,3,A-680-495-01-00,043,06,01,1,675.15,675.15,2.2,2.2,0.0,3.9,Standard
CL-000053,WC-2023000028,1,A-460-350-02-00,010,05,06,1,157.85,157.85,2.2,2.0,10.0,-4.3,Complex
CL-000054,WC-2023000028,2,A-680-490-02-04,043,03,04,1,1962.27,1962.27,2.1,2.3,-8.7,0.6,Standard
CL-000055,WC-2023000028,3,A-001-545-80-00,041,06,03,1,1226.3,1226.3,2.4,2.3,4.3,-1.9,Complex
CL-000056,WC-2023000029,1,A-001-545-90-00,041,07,08,1,1583.73,1583.73,2.9,3.2,-9.4,-4.0,Standard
CL-000057,WC-2023000029,2,A-960-501-02-00,042,01,06,1,647.9,647.9,2.0,2.1,-4.8,4.5,Complex
