claim_id,cluster_id,cluster_size,distance_from_centroid,is_outlier,cluster_avg_claim_amount,cluster_std_claim_amount,claim_amount_z_score
WC-2023000001,Electrical-Intermittent-Faults,470,1.126,N,3130.91,1970.63,0.99
WC-2023000002,Cooling-Summer-Sun-Belt,509,0.829,N,2771.87,2089.92,1.49
WC-2023000003,Campaign-Related-Defect,1241,0.291,N,4154.73,2330.54,-0.21
WC-2023000004,Transmission-Class8-Heavy-Use,276,0.233,N,4789.88,1996.74,2.14
WC-2023000005,Engine-Extended-Warranty,364,1.542,N,4658.44,2195.34,0.33
WC-2023000006,Campaign-Related-Defect,1241,0.724,N,4154.73,2330.54,0.15
WC-2023000007,Cooling-Summer-Sun-Belt,509,1.06,N,2771.87,2089.92,-0.8
WC-2023000008,Transmission-Class8-Heavy-Use,276,1.024,N,4789.88,1996.74,0.91
WC-2023000009,Drivetrain-Construction-Fleet,254,1.152,N,4330.36,2909.27,-1.35
WC-2023000010,Drivetrain-Construction-Fleet,254,0.823,N,4330.36,2909.27,-0.56
WC-2023000011,Fuel-System-Cold-Start,390,1.068,N,3525.56,2352.52,-0.4
WC-2023000012,Cooling-Summer-Sun-Belt,509,0.952,N,2771.87,2089.92,-0.74
WC-2023000013,Brake-Rust-Belt-Winter,562,0.477,N,2534.44,1878.53,-0.4
WC-2023000014,Cab-Body-Regional-Distribution,260,0.394,N,2397.55,2071.18,0.59
WC-2023000015,Campaign-Related-Defect,1241,1.88,N,4154.73,2330.54,-0.45
WC-2023000016,Campaign-Related-Defect,1241,1.241,N,4154.73,2330.54,0.61
WC-2023000017,Cooling-Summer-Sun-Belt,509,0.372,N,2771.87,2089.92,1.42
WC-2023000018,Emission-DPF-Regen-Failure,335,1.327,N,3920.94,2145.67,-1.42
WC-2023000019,Drivetrain-Construction-Fleet,254,0.229,N,4330.36,2909.27,-0.89
WC-2023000020,Transmission-Class8-Heavy-Use,276,0.166,N,4789.88,1996.74,-1.09
WC-2023000021,Brake-Rust-Belt-Winter,562,0.582,N,2534.44,1878.53,-0.54
WC-2023000022,Engine-Extended-Warranty,364,3.128,Y,4658.44,2195.34,0.29
WC-2023000023,Cab-Body-Regional-Distribution,260,0.554,N,2397.55,2071.18,-0.3
WC-2023000024,Fuel-System-Cold-Start,390,0.753,N,3525.56,2352.52,-1.27
WC-2023000025,Campaign-Related-Defect,1241,1.308,N,4154.73,2330.54,-0.1
WC-2023000026,Cooling-Summer-Sun-Belt,509,0.813,N,2771.87,2089.92,-0.25
WC-2023000027,Campaign-Related-Defect,1241,1.384,N,4154.73,2330.54,-1.0
WC-2023000028,Brake-Rust-Belt-Winter,562,1.488,N,2534.44,1878.53,0.88
WC-2023000029,Engine-Extended-Warranty,364,0.351,N,4658.44,2195.34,-0.83
WC-2023000030,Campaign-Related-Defect,1241,1.703,N,4154.73,2330.54,-0.05
WC-2023000031,Electrical-Intermittent-Faults,470,0.102,N,3130.91,1970.63,-0.76
WC-2023000032,Electrical-Intermittent-Faults,470,1.757,N,3130.91,1970.63,0.03
WC-2023000033,Transmission-Class8-Heavy-Use,276,1.396,N,4789.88,1996.74,-0.5
WC-2023000034,Fuel-System-Cold-Start,390,0.904,N,3525.56,2352.52,-1.08
WC-2023000035,Electrical-Intermittent-Faults,470,0.683,N,3130.91,1970.63,2.75
WC-2023000036,Drivetrain-Construction-Fleet,254,0.993,N,4330.36,2909.27,0.54
WC-2023000037,Campaign-Related-Defect,1241,0.271,N,4154.73,2330.54,-0.92
WC-2023000038,Drivetrain-Construction-Fleet,254,0.215,N,4330.36,2909.27,0.35
WC-2023000039,Campaign-Related-Defect,1241,1.81,N,4154.73,2330.54,-0.59
WC-2023000040,Campaign-Related-Defect,1241,0.141,N,4154.73,2330.54,0.32
WC-2023000041,Cooling-Summer-Sun-Belt,509,3.744,Y,2771.87,2089.92,-0.65
WC-2023000042,Cooling-Summer-Sun-Belt,509,1.53,N,2771.87,2089.92,1.42
WC-2023000043,Electrical-Intermittent-Faults,470,1.883,N,3130.91,1970.63,-0.19
WC-2023000044,Brake-Rust-Belt-Winter,562,1.763,N,2534.44,1878.53,-1.06
WC-2023000045,Cooling-Summer-Sun-Belt,509,0.633,N,2771.87,2089.92,0.59
WC-2023000046,Cab-Body-Regional-Distribution,260,0.4,N,2397.55,2071.18,1.28
WC-2023000047,Electrical-Intermittent-Faults,470,1.528,N,3130.91,1970.63,-0.2
WC-2023000048,Cooling-Summer-Sun-Belt,509,1.56,N,2771.87,2089.92,-0.07
WC-2023000049,Emission-DPF-Regen-Failure,335,0.635,N,3920.94,2145.67,-0.55
WC-2023000050,Electrical-Intermittent-Faults,470,0.216,N,3130.91,1970.63,-0.45
WC-2023000051,Campaign-Related-Defect,1241,0.239,N,4154.73,2330.54,-0.35
WC-2023000052,Cooling-Summer-Sun-Belt,509,0.406,N,2771.87,2089.92,-0.76
WC-2023000053,Campaign-Related-Defect,1241,0.469,N,4154.73,2330.54,-1.6
WC-2023000054,Electrical-Intermittent-Faults,470,0.938,N,3130.91,1970.63,-0.87
WC-2023000055,Electrical-Intermittent-Faults,470,1.734,N,3130.91,1970.63,0.5
WC-2023000056,Campaign-Related-Defect,1241,0.468,N,4154.73,2330.54,-0.61
WC-2023000057,Campaign-Related-Defect,1241,0.577,N,4154.73,2330.54,0.13
WC-2023000058,Cab-Body-Regional-Distribution,260,1.887,N,2397.55,2071.18,0.55
WC-2023000059,Drivetrain-Construction-Fleet,254,1.686,N,4330.36,2909.27,-1.37
WC-2023000060,Drivetrain-Construction-Fleet,254,1.12,N,4330.36,2909.27,1.52
WC-2023000061,Electrical-Intermittent-Faults,470,1.083,N,3130.91,1970.63,-0.52
WC-2023000062,Campaign-Related-Defect,1241,1.331,N,4154.73,2330.54,1.14
WC-2023000063,Cooling-Summer-Sun-Belt,509,1.646,N,2771.87,2089.92,0.54
WC-2023000064,Emission-DPF-Regen-Failure,335,0.978,N,3920.94,2145.67,-0.78
WC-2023000065,Campaign-Related-Defect,1241,1.494,N,4154.73,2330.54,-1.02
WC-2023000066,Drivetrain-Construction-Fleet,254,3.227,Y,4330.36,2909.27,-1.34
WC-2023000067,Campaign-Related-Defect,1241,0.206,N,4154.73,2330.54,-1.58
WC-2023000068,Electrical-Intermittent-Faults,470,0.24,N,3130.91,1970.63,-0.6
WC-2023000069,Fuel-System-Cold-Start,390,0.32,N,3525.56,2352.52,0.31
WC-2023000070,Cooling-Summer-Sun-Belt,509,1.465,N,2771.87,2089.92,-0.08
WC-2023000071,Cooling-Summer-Sun-Belt,509,1.307,N,2771.87,2089.92,-1.12
WC-2023000072,Campaign-Related-Defect,1241,2.271,N,4154.73,2330.54,1.17
WC-2023000073,Emission-DPF-Regen-Failure,335,1.172,N,3920.94,2145.67,-0.99
WC-2023000074,Engine-Extended-Warranty,364,0.824,N,4658.44,2195.34,0.13
WC-2023000075,Emission-High-Mileage-Cascadia,339,1.942,N,3724.51,1975.33,-1.46
WC-2023000076,Electrical-Intermittent-Faults,470,1.044,N,3130.91,1970.63,0.96
WC-2023000077,Transmission-Class8-Heavy-Use,276,1.533,N,4789.88,1996.74,-1.02
WC-2023000078,Campaign-Related-Defect,1241,0.392,N,4154.73,2330.54,-0.75
WC-2023000079,Campaign-Related-Defect,1241,3.095,Y,4154.73,2330.54,-1.61
WC-2023000080,Emission-DPF-Regen-Failure,335,0.448,N,3920.94,2145.67,0.45
WC-2023000081,Campaign-Related-Defect,1241,0.836,N,4154.73,2330.54,-0.16
WC-2023000082,Brake-Rust-Belt-Winter,562,0.865,N,2534.44,1878.53,1.63
WC-2023000083,Emission-DPF-Regen-Failure,335,1.873,N,3920.94,2145.67,-0.16
WC-2023000084,Cab-Body-Regional-Distribution,260,0.451,N,2397.55,2071.18,-0.32
WC-2023000085,Emission-DPF-Regen-Failure,335,1.481,N,3920.94,2145.67,-0.98
WC-2023000086,Engine-Extended-Warranty,364,0.576,N,4658.44,2195.34,-1.43
WC-2023000087,Transmission-Class8-Heavy-Use,276,1.768,N,4789.88,1996.74,-0.48
WC-2023000088,Campaign-Related-Defect,1241,0.918,N,4154.73,2330.54,-0.11
WC-2023000089,Transmission-Class8-Heavy-Use,276,0.466,N,4789.88,1996.74,0.31
WC-2023000090,Brake-Rust-Belt-Winter,562,0.802,N,2534.44,1878.53,-0.55
WC-2023000091,Cooling-Summer-Sun-Belt,509,0.815,N,2771.87,2089.92,-0.23
WC-2023000092,Cooling-Summer-Sun-Belt,509,1.335,N,2771.87,2089.92,2.16
WC-2023000093,Campaign-Related-Defect,1241,1.202,N,4154.73,2330.54,-0.41
WC-2023000094,Campaign-Related-Defect,1241,0.452,N,4154.73,2330.54,0.1
WC-2023000095,Campaign-Related-Defect,1241,1.612,N,4154.73,2330.54,-0.23
WC-2023000096,Brake-Rust-Belt-Winter,562,0.592,N,2534.44,1878.53,-0.53
WC-2023000097,Drivetrain-Construction-Fleet,254,1.827,N,4330.36,2909.27,-0.03
WC-2023000098,Campaign-Related-Defect,1241,0.856,N,4154.73,2330.54,-0.45
WC-2023000099,Brake-Rust-Belt-Winter,562,1.76,N,2534.44,1878.53,-0.33
WC-2023000100,Cooling-Summer-Sun-Belt,509,1.858,N,2771.87,2089.92,-0.84
WC-2023000101,Campaign-Related-Defect,1241,1.085,N,4154.73,2330.54,-1.14
WC-2023000102,Fuel-System-Cold-Start,390,0.777,N,3525.56,2352.52,2.68
WC-2023000103,Cooling-Summer-Sun-Belt,509,1.659,N,2771.87,2089.92,2.2
WC-2023000104,Engine-Extended-Warranty,364,1.567,N,4658.44,2195.34,-0.49
WC-2023000105,Engine-Extended-Warranty,364,0.226,N,4658.44,2195.34,-0.33
WC-2023000106,Fuel-System-Cold-Start,390,1.94,N,3525.56,2352.52,0.86
WC-2023000107,Campaign-Related-Defect,1241,0.377,N,4154.73,2330.54,-1.18
WC-2023000108,Transmission-Class8-Heavy-Use,276,1.405,N,4789.88,1996.74,-0.55
WC-2023000109,Drivetrain-Construction-Fleet,254,1.256,N,4330.36,2909.27,1.34
WC-2023000110,Cooling-Summer-Sun-Belt,509,1.098,N,2771.87,2089.92,-0.16
WC-2023000111,Drivetrain-Construction-Fleet,254,1.226,N,4330.36,2909.27,0.11
WC-2023000112,Cooling-Summer-Sun-Belt,509,1.906,N,2771.87,2089.92,1.45
WC-2023000113,Fuel-System-Cold-Start,390,0.296,N,3525.56,2352.52,-1.27
WC-2023000114,Fuel-System-Cold-Start,390,0.311,N,3525.56,2352.52,0.36
WC-2023000115,Cooling-Summer-Sun-Belt,509,0.284,N,2771.87,2089.92,-0.77
WC-2023000116,Fuel-System-Cold-Start,390,0.873,N,3525.56,2352.52,-1.27
WC-2023000117,Cooling-Summer-Sun-Belt,509,1.895,N,2771.87,2089.92,-0.6
WC-2023000118,Campaign-Related-Defect,1241,1.454,N,4154.73,2330.54,0.71
WC-2023000119,Campaign-Related-Defect,1241,1.195,N,4154.73,2330.54,-0.74
WC-2023000120,Engine-Extended-Warranty,364,1.788,N,4658.44,2195.34,1.22
WC-2023000121,Cooling-Summer-Sun-Belt,509,1.595,N,2771.87,2089.92,-0.76
WC-2023000122,Brake-Rust-Belt-Winter,562,1.716,N,2534.44,1878.53,-0.61
WC-2023000123,Electrical-Intermittent-Faults,470,1.492,N,3130.91,1970.63,-0.87
WC-2023000124,Engine-Extended-Warranty,364,0.641,N,4658.44,2195.34,-0.48
WC-2023000125,Cooling-Summer-Sun-Belt,509,1.419,N,2771.87,2089.92,-0.92
WC-2023000126,Campaign-Related-Defect,1241,1.716,N,4154.73,2330.54,-1.14
WC-2023000127,Emission-High-Mileage-Cascadia,339,1.48,N,3724.51,1975.33,0.69
WC-2023000128,Emission-High-Mileage-Cascadia,339,0.121,N,3724.51,1975.33,0.19
WC-2023000129,Campaign-Related-Defect,1241,1.165,N,4154.73,2330.54,-0.82
WC-2023000130,Cooling-Summer-Sun-Belt,509,1.136,N,2771.87,2089.92,-0.73
