pfp_id,part_number,part_description,model_name,model_year,vehicles_in_population,expected_failure_rate_per_1000,actual_failure_count,actual_failure_rate_per_1000,deviation_pct,trend,period,last_updated
PFP-00001,A-680-480-01-02,EGR Cooler Assembly,Freightliner 114SD,2021,14411,3.87,36,2.5,-35.4,Increasing,2021-FY,2025-12-01
PFP-00002,A-680-480-01-02,EGR Cooler Assembly,Freightliner 114SD,2022,4962,4.87,34,6.85,40.7,Decreasing,2022-FY,2025-12-01
PFP-00003,A-680-480-01-02,EGR Cooler Assembly,Freightliner 114SD,2023,12185,7.92,50,4.1,-48.2,Decreasing,2023-FY,2025-12-01
PFP-00004,A-680-480-01-02,EGR Cooler Assembly,Freightliner 114SD,2024,2231,1.95,3,1.34,-31.3,Stable,2024-FY,2025-12-01
PFP-00005,A-680-480-01-02,EGR Cooler Assembly,Freightliner M2 112,2021,9656,6.32,72,7.46,18.0,Stable,2021-FY,2025-12-01
PFP-00006,A-680-480-01-02,EGR Cooler Assembly,Freightliner M2 112,2022,12375,4.8,57,4.61,-4.0,Stable,2022-FY,2025-12-01
PFP-00007,A-680-480-01-02,EGR Cooler Assembly,Freightliner M2 112,2023,13281,7.41,71,5.35,-27.8,Increasing,2023-FY,2025-12-01
PFP-00008,A-680-480-01-02,EGR Cooler Assembly,Freightliner M2 112,2024,11749,4.47,30,2.55,-43.0,Spike,2024-FY,2025-12-01
PFP-00009,A-680-480-01-02,EGR Cooler Assembly,Freightliner Cascadia,2021,11147,3.17,28,2.51,-20.8,Decreasing,2021-FY,2025-12-01
PFP-00010,A-680-480-01-02,EGR Cooler Assembly,Freightliner Cascadia,2022,13421,4.02,1,0.07,-98.3,Stable,2022-FY,2025-12-01
PFP-00011,A-680-480-01-02,EGR Cooler Assembly,Freightliner Cascadia,2023,8044,6.86,64,7.96,16.0,Stable,2023-FY,2025-12-01
PFP-00012,A-680-480-01-02,EGR Cooler Assembly,Freightliner Cascadia,2024,7398,4.06,29,3.92,-3.4,Decreasing,2024-FY,2025-12-01
PFP-00013,A-680-480-01-02,EGR Cooler Assembly,Freightliner M2 106,2021,14079,2.15,5,0.36,-83.3,Stable,2021-FY,2025-12-01
PFP-00014,A-680-480-01-02,EGR Cooler Assembly,Freightliner M2 106,2022,2169,2.37,2,0.92,-61.2,Increasing,2022-FY,2025-12-01
PFP-00015,A-680-480-01-02,EGR Cooler Assembly,Freightliner M2 106,2023,2743,2.37,1,0.36,-84.8,Increasing,2023-FY,2025-12-01
PFP-00016,A-680-480-01-02,EGR Cooler Assembly,Freightliner M2 106,2024,5314,0.75,6,1.13,50.7,Increasing,2024-FY,2025-12-01
PFP-00017,A-680-480-01-02,EGR Cooler Assembly,Western Star 49X,2021,10664,0.55,4,0.38,-30.9,Stable,2021-FY,2025-12-01
PFP-00018,A-680-480-01-02,EGR Cooler Assembly,Western Star 49X,2022,14067,3.42,8,0.57,-83.3,Stable,2022-FY,2025-12-01
PFP-00019,A-680-480-01-02,EGR Cooler Assembly,Western Star 49X,2023,897,1.93,1,1.11,-42.5,Stable,2023-FY,2025-12-01
PFP-00020,A-680-480-01-02,EGR Cooler Assembly,Western Star 49X,2024,8076,7.37,37,4.58,-37.9,Spike,2024-FY,2025-12-01
PFP-00021,A-680-480-01-02,EGR Cooler Assembly,Freightliner 108SD,2021,10018,0.77,5,0.5,-35.1,Decreasing,2021-FY,2025-12-01
PFP-00022,A-680-480-01-02,EGR Cooler Assembly,Freightliner 108SD,2022,1027,4.56,3,2.92,-36.0,Spike,2022-FY,2025-12-01
PFP-00023,A-680-480-01-02,EGR Cooler Assembly,Freightliner 108SD,2023,3639,1.29,8,2.2,70.5,Decreasing,2023-FY,2025-12-01
PFP-00024,A-680-480-01-02,EGR Cooler Assembly,Freightliner 108SD,2024,1992,3.7,8,4.02,8.6,Spike,2024-FY,2025-12-01
PFP-00025,A-680-480-01-02,EGR Cooler Assembly,Western Star 47X,2021,7397,5.25,40,5.41,3.0,Decreasing,2021-FY,2025-12-01
